event, date, match, matchType, matchNum, color, autoSwitchTime, autoScaleTime, autoScore, autoSwitchAtZero, youtube 
2018alhu,1521210533,2018alhu_qm3, qm,3,blue,15,15, 0,False,=HYPERLINK("https://youtu.be/zjWrJUPuOzc")
2018alhu,1521210533,2018alhu_qm3,qm,3,red,5,15,35,True,=HYPERLINK("https://youtu.be/zjWrJUPuOzc")
2018alhu,1521227569,2018alhu_qm30, qm,30,blue,7,15, 31,True,=HYPERLINK("https://youtu.be/8JezO7hZ-S8")
2018alhu,1521227569,2018alhu_qm30,qm,30,red,4,15,37,True,=HYPERLINK("https://youtu.be/8JezO7hZ-S8")
2018alhu,1521228097,2018alhu_qm31, qm,31,blue,15,15, 10,False,=HYPERLINK("https://youtu.be/ag_i79zStwE")
2018alhu,1521228097,2018alhu_qm31,qm,31,red,6,15,28,True,=HYPERLINK("https://youtu.be/ag_i79zStwE")
2018alhu,1521228545,2018alhu_qm32, qm,32,blue,15,15, 10,False,=HYPERLINK("https://youtu.be/88NiOolU66k")
2018alhu,1521228545,2018alhu_qm32,qm,32,red,15,13,19,False,=HYPERLINK("https://youtu.be/88NiOolU66k")
2018alhu,1521228949,2018alhu_qm33, qm,33,blue,7,15, 26,True,=HYPERLINK("https://youtu.be/NAShooCsTh0")
2018alhu,1521228949,2018alhu_qm33,qm,33,red,15,15,15,False,=HYPERLINK("https://youtu.be/NAShooCsTh0")
2018alhu,1521229325,2018alhu_qm34, qm,34,blue,9,15, 27,True,=HYPERLINK("https://youtu.be/5fvftJ0EbYE")
2018alhu,1521229325,2018alhu_qm34,qm,34,red,12,15,21,True,=HYPERLINK("https://youtu.be/5fvftJ0EbYE")
2018alhu,1521229779,2018alhu_qm35, qm,35,blue,10,15, 20,True,=HYPERLINK("https://youtu.be/tEMEdVLPD0w")
2018alhu,1521229779,2018alhu_qm35,qm,35,red,15,15,5,False,=HYPERLINK("https://youtu.be/tEMEdVLPD0w")
